Session_ID,Timestamp,Weekday,Hour,Product_View,Added_to_Cart,Checkout,Purchase
SESS100000,2025-06-13 19:01:00,Friday,19,1,1,1,1
SESS100001,2025-05-20 18:37:00,Tuesday,18,1,1,1,1
SESS100002,2025-01-07 22:45:00,Tuesday,22,1,0,0,0
SESS100003,2025-02-27 06:37:00,Thursday,6,1,0,0,0
SESS100004,2025-02-11 05:21:00,Tuesday,5,1,1,0,0
SESS100005,2025-01-27 18:24:00,Monday,18,1,0,0,0
SESS100006,2025-06-05 00:51:00,Thursday,0,1,0,0,0
SESS100007,2025-02-02 04:05:00,Sunday,4,1,0,0,0
SESS100008,2025-06-09 03:36:00,Monday,3,1,1,0,0
SESS100009,2025-03-16 18:54:00,Sunday,18,1,1,1,1
SESS100010,2025-04-04 21:23:00,Friday,21,1,0,0,0
SESS100011,2025-06-29 18:38:00,Sunday,18,1,0,0,0
SESS100012,2025-03-04 21:29:00,Tuesday,21,1,0,0,0
SESS100013,2025-06-13 23:43:00,Friday,23,1,0,0,0
SESS100014,2025-01-15 23:52:00,Wednesday,23,1,1,1,1
SESS100015,2025-05-27 02:13:00,Tuesday,2,1,0,0,0
SESS100016,2025-06-15 06:09:00,Sunday,6,1,1,1,1
SESS100017,2025-05-31 05:57:00,Saturday,5,1,1,0,0
SESS100018,2025-02-06 07:05:00,Thursday,7,1,0,0,0
SESS100019,2025-02-09 21:50:00,Sunday,21,1,0,0,0
SESS100020,2025-04-10 04:38:00,Thursday,4,0,0,0,0
SESS100021,2025-05-17 00:35:00,Saturday,0,1,1,0,0
SESS100022,2025-06-25 00:49:00,Wednesday,0,1,1,1,1
SESS100023,2025-03-09 21:32:00,Sunday,21,1,0,0,0
SESS100024,2025-03-18 22:09:00,Tuesday,22,1,1,0,0
SESS100025,2025-05-16 16:38:00,Friday,16,1,1,0,0
SESS100026,2025-03-20 23:03:00,Thursday,23,1,0,0,0
SESS100027,2025-01-21 18:46:00,Tuesday,18,1,1,0,0
SESS100028,2025-02-02 20:42:00,Sunday,20,1,0,0,0
SESS100029,2025-03-10 05:13:00,Monday,5,0,0,0,0
SESS100030,2025-06-26 22:45:00,Thursday,22,1,0,0,0
SESS100031,2025-06-17 03:28:00,Tuesday,3,0,0,0,0
SESS100032,2025-04-26 19:15:00,Saturday,19,1,1,1,1
SESS100033,2025-02-26 16:04:00,Wednesday,16,1,1,1,1
SESS100034,2025-03-26 18:32:00,Wednesday,18,1,0,0,0
SESS100035,2025-02-24 20:46:00,Monday,20,1,0,0,0
SESS100036,2025-05-02 23:50:00,Friday,23,1,0,0,0
SESS100037,2025-01-25 19:42:00,Saturday,19,1,1,1,1
SESS100038,2025-06-22 19:03:00,Sunday,19,1,1,0,0
SESS100039,2025-03-05 22:12:00,Wednesday,22,1,1,1,1
SESS100040,2025-01-21 06:51:00,Tuesday,6,0,0,0,0
SESS100041,2025-05-21 19:03:00,Wednesday,19,1,0,0,0
SESS100042,2025-01-04 18:59:00,Saturday,18,1,1,1,1
SESS100043,2025-04-13 17:10:00,Sunday,17,1,0,0,0
SESS100044,2025-03-10 06:18:00,Monday,6,1,0,0,0
SESS100045,2025-05-24 07:09:00,Saturday,7,1,1,1,1
SESS100046,2025-01-17 02:03:00,Friday,2,1,0,0,0
SESS100047,2025-05-16 21:03:00,Friday,21,1,1,1,1
SESS100048,2025-06-22 23:25:00,Sunday,23,1,0,0,0
SESS100049,2025-03-05 17:39:00,Wednesday,17,1,0,0,0
SESS100050,2025-05-26 02:59:00,Monday,2,1,0,0,0
SESS100051,2025-03-22 23:16:00,Saturday,23,1,0,0,0
SESS100052,2025-03-19 06:20:00,Wednesday,6,0,0,0,0
SESS100053,2025-01-19 16:29:00,Sunday,16,1,0,0,0
SESS100054,2025-01-26 18:34:00,Sunday,18,1,1,0,0
SESS100055,2025-01-18 23:23:00,Saturday,23,1,0,0,0
